Department,Area,Owner Group,# WOs,Total Hours (Actual),Scheduled Maintenance WO Hours,Total Break-In Hours (Actual),Total Scheduled Hours (Actual),Total PM Hours (Scheduled),Total Scheduled PM Hours (Actual),Total Break-In Failure Hours (Actual),Total Break-In Non Failure Hours (Actual),Test2
MINE,Trucks,OG800,379,1470.5,856.5,1065,405.5,367.5,205,229,830,1377
MINE,Support,OG801,190,393.25,689,183.75,209.5,563,178,111.5,72.25,185
MINE,Field,OG803,54,238,12,238,0,12,0,182,56,51
MINE,Elect/Shops,OG804,44,63.95,48,35.95,28,0,0,35.95,0,442
MINE,Elect/Shops,OG805,134,337.5,827,119,218.5,116,62,42,73,131
MINE,Trucks,OG807,50,394.5,2099,262.5,132,41,73.5,218.5,44,50
MINE,Elect/Shops,OG809,65,30,0,30,0,0,0,0,30,66
MILL,Electrical,OG811,72,311.3,612,153.5,157.8,22,7,120,33.5,72
MILL,Electrical,OG812,167,476.8333333,847,180,296.8333333,243,191,67,113,163
MILL,Mechanical,OG813,40,363,316,289,74,108,26,263,26,36
MILL,Shops,OG814,49,58,470,0,58,126,18,0,0,49
MINE,Elect/Shops,OG815,15,41,0,41,0,0,0,20,21,215
MINE,Support,OG816,31,22,216,0,22,0,0,0,0,31
MINE,Other,OG817,27,136,0,136,0,0,0,36,100,27
MINE,Trucks,OG818,3,0,123,0,0,0,0,0,0,3
MINE,Support,OG821,18,226,45,226,0,21,0,0,226,17
MILL,Mechanical,OG823,21,80,65,35,45,65,45,0,35,19
MILL,Mechanical,OG824,42,230,1135,58,172,94,4,58,0,38
MILL,Mechanical,OG827,13,2136,168,1080,1056,168,1056,120,936,
MILL,Mechanical,OG832,57,171,245,59,112,245,112,0,59,11
MILL,Shops,OG833,12,50,70,50,0,0,0,20,30,56
MILL,Mechanical,OG834,30,106,174,40,66,32,20,40,0,12
MILL,Mechanical,OG837,6,16,20,6,10,20,10,6,0,30
MILL,Electrical,OG838,41,264,20,264,0,0,0,64,200,6
MINE,Elect/Shops,OG839,43,190.5,12,142.5,48,0,0,16,44.5,40
MINE,Support,OG843,5,44,0,44,0,0,0,0,44,43
MILL,Mechanical,OG845,26,323,296.5,323,0,12,0,48,0,5
MINE,Field,OG846,5,20.5,0,20.5,0,0,0,10.5,10,25
MILL,Mechanical,OG847,1,0,0,0,0,0,0,0,0,5
MILL,Mechanical,OG852,9,116,148,0,116,16,20,0,0,1
MILL,Mechanical,OG853,21,490,825,250,240,0,0,200,10,8
MILL,Mechanical,OG858,1,0,0,0,0,0,0,0,0,432
MILL,Shops,OG872,1,0,440,0,0,0,0,0,0,
MILL,Shops,OG873,11,176,340,56,120,0,0,56,0,
MINE,Other,OG876,2,6,0,6,0,0,0,4,2,
MILL,Shops,OG890,44,156,257,71,85,20,0,60,11,1
MILL,Shops,OG891,16,10,440,10,0,0,0,0,10,11
MILL,Shops,OG892,12,30,200,30,0,0,0,0,30,2
MILL,Mechanical,OG893,36,89.5,139,52,37.5,1,0,52,0,39
MILL,Mechanical,OG894,77,143,313,21,122,63,23,21,0,16
MILL,Electrical,OG896,79,150,316,30,120,100,76,11,3,11
MILL,Mechanical,OG898,54,24,25.5,0,24,25.5,24,0,0,36
MILL,Mechanical,OG901,2,0,0,0,0,0,0,0,0,66
,,,,,,,,,,,,
,,,,,,,,,,,,77
,,,,,,,,,,,,54
,,,,,,,,,,,,2
