Site Code,Month-Year,Date,FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual)
CDA,Aug-2020,2020-08-10 00:00:00,81.32%,5.82,0,25.32,27.52,5.59,89.37%,92.37%,51.77%
CDA,Aug-2020,2020-08-11 00:00:00,78.70%,6.04,0.24392361111111113,22.33,25.12,5.75,87.95%,93.85%,50.61%
CDA,Aug-2020,2020-08-12 00:00:00,71.80%,10.42,1.2296052631578946,26.53,29.32,7.90,84.00%,90.33%,48.48%
CDA,Aug-2020,2020-08-13 00:00:00,76.35%,9.93,2.190590277777778,32.04,38.04,9.79,86.22%,93.52%,51.61%
CDA,Aug-2020,2020-08-14 00:00:00,74.69%,8.23,2.130328282828283,24.30,26.51,7.64,85.55%,93.46%,49.83%
CDA,Aug-2020,2020-08-15 00:00:00,70.80%,8.68,2.8301932367149756,21.05,22.89,7.22,84.13%,92.65%,45.73%
CDA,Aug-2020,2020-08-16 00:00:00,70.39%,9.62,0.11618055555555555,22.87,25.16,8.82,84.53%,93.29%,43.51%
CDA,Aug-2020,2020-08-17 00:00:00,76.58%,7.45,0.0784795321637427,24.35,32.04,7.34,86.39%,92.75%,51.51%
CDA,Aug-2020,2020-08-18 00:00:00,69.75%,10.59,0,24.42,29.30,10.24,81.42%,93.74%,52.61%
CDA,Aug-2020,2020-08-19 00:00:00,68.45%,8.48,0,18.40,22.08,8.12,81.40%,95.06%,49.58%
CDA,Aug-2020,2020-08-20 00:00:00,71.29%,6.29,0.36976053639846745,15.61,18.30,5.62,84.38%,93.25%,45.98%
CDA,Aug-2020,2020-08-21 00:00:00,74.83%,8.98,1.2613734567901236,26.69,28.17,8.89,87.53%,83.63%,42.35%
CDA,Aug-2020,2020-08-22 00:00:00,77.80%,8.90,0.654462962962963,31.20,37.44,8.66,88.29%,86.23%,46.50%
CDA,Aug-2020,2020-08-23 00:00:00,76.41%,9.66,0.48408730158730157,31.28,40.22,8.91,87.29%,90.49%,47.15%
CDA,Aug-2020,2020-08-24 00:00:00,75.27%,8.64,0.5090151515151515,26.30,27.49,7.92,85.48%,92.89%,51.72%
CDA,Aug-2020,2020-08-25 00:00:00,71.73%,9.97,0,25.29,30.35,9.70,86.88%,78.73%,38.30%
CDA,Aug-2020,2020-08-26 00:00:00,69.34%,8.42,0,19.05,22.10,7.68,82.15%,89.29%,49.15%
CDA,Aug-2020,2020-08-27 00:00:00,74.18%,8.36,0,24.01,25.01,8.14,84.73%,93.99%,51.78%
CDA,Aug-2020,2020-08-28 00:00:00,73.91%,7.26,0.12829059829059827,20.56,21.35,6.43,85.67%,90.27%,47.37%
CDA,Aug-2020,2020-08-29 00:00:00,72.05%,8.19,0.5200362318840579,21.10,22.02,7.69,85.62%,92.83%,43.27%
CDA,Aug-2020,2020-08-30 00:00:00,74.65%,6.48,0.20253086419753086,19.09,21.92,6.21,85.30%,94.89%,50.74%
