latitude,longitude,v,utc_offset_seconds,timezone,timezone_abbreviation,,,,
51.100006,-114.1,1051,-21600,America/Edmonton,MDT,,,,
,,,,,,,,,
time,temperature_2m (°C),relativehumidity_2m (%),apparent_temperature (°C),surface_pressure (hPa),precipitation (mm),snowfall (cm),weathercode (wmo code),cloudcover (%),windspeed_10m (km/h)
2021-04-01T00:00,-0.3,63,-4.6,890,0,0,1,49,9.1
2021-04-01T01:00,0.4,55,-3.9,889.7,0,0,2,66,8.9
2021-04-01T02:00,0.3,56,-4,888.9,0,0,1,39,8.7
2021-04-01T03:00,-0.5,60,-4.9,887.6,0,0,1,41,8.9
2021-04-01T04:00,-0.8,63,-5.5,886.2,0,0,2,75,11.6
2021-04-01T05:00,-0.5,62,-5.4,885.8,0,0,1,32,13
2021-04-01T06:00,-0.1,61,-5.1,884.9,0,0,1,30,14
2021-04-01T07:00,-0.3,62,-5.1,883.9,0,0,1,30,12.5
2021-04-01T08:00,-0.4,62,-5,882.9,0,0,1,30,11.3
2021-04-01T09:00,1.7,55,-2.7,883.7,0,0,1,29,10.4
2021-04-01T10:00,5.9,42,1.6,884.9,0,0,1,29,9.9
2021-04-01T11:00,9.6,33,4.9,884,0,0,1,29,12.6
2021-04-01T12:00,12.9,25,6.8,883.6,0,0,1,27,22.6
2021-04-01T13:00,14.4,19,7.5,883.4,0,0,0,19,29.5
2021-04-01T14:00,14.8,18,7.9,883.1,0,0,0,13,31.1
2021-04-01T15:00,14.7,19,7.7,882.8,0,0,0,5,31.1
2021-04-01T16:00,14.3,20,6.4,882.1,0,0,0,17,36.5
2021-04-01T17:00,13.7,22,5.4,881.9,0,0,0,0,35.6
2021-04-01T18:00,12.8,24,4.8,881.8,0,0,0,1,34
2021-04-01T19:00,11.5,27,3.8,881.9,0,0,0,2,32
2021-04-01T20:00,9.5,30,2.5,881.6,0,0,0,4,27.4
2021-04-01T21:00,8,33,1.6,882.5,0,0,0,8,23
2021-04-01T22:00,6.8,37,1.1,882.6,0,0,0,6,18.3
2021-04-01T23:00,5.3,44,0.1,882.9,0,0,0,1,15.9
2021-04-02T00:00,4.7,46,0.7,883.3,0,0,0,1,7.6
2021-04-02T01:00,1.3,56,-2.7,882.9,0,0,0,0,6.7
2021-04-02T02:00,-1.3,68,-5.5,883.1,0,0,0,0,9.1
2021-04-02T03:00,-1.7,69,-6.1,884.2,0,0,0,0,9.7
2021-04-02T04:00,-1.8,71,-6.4,886.6,0,0,1,23,11.4
2021-04-02T05:00,-1.2,67,-6.1,889.2,0,0,1,30,13.4
2021-04-02T06:00,-1.7,67,-6.2,890.7,0,0,1,41,10.2
2021-04-02T07:00,-1.9,66,-5.7,891.6,0,0,2,64,5.4
2021-04-02T08:00,-0.5,58,-4,893.1,0,0,1,49,3.1
2021-04-02T09:00,0.6,48,-2.8,893.5,0,0,0,19,1.3
2021-04-02T10:00,2.5,36,-1.9,894,0,0,0,19,7.4
2021-04-02T11:00,4.1,33,-0.9,893.9,0,0,0,5,11.7
